run_id,run_number,started_at,profile_id,profile_name,host_os,host_arch,implementation,language,variant,case_id,warmup,repeat_index,iterations,parallel_chains,loop_trip_count,remainder,timer_kind,elapsed_ns,ns_per_iteration,ns_per_add,legacy_cycles,legacy_cycles_per_iteration,legacy_cycles_per_add,result_checksum,requested_priority_mode,requested_affinity_mode,applied_priority_mode,applied_affinity_mode,scheduler_notes,pid,tid,runtime_name,runtime_source,status,log_file,raw_file,error_message,platform_extras_json
run06_20_46_15_04_26,6,2026-04-15T20:46:43,ruby_perl_smoke,Ruby Perl Smoke,macos,arm64,ruby_sloppy,ruby,sloppy,quick_single,true,1,4000,1,4000,0,clock_gettime_ns,2170000,542.5,271.25,,,,16127785005222626245,high,single_core,unsupported,unsupported,Ruby runtime uses controller-side best effort scheduling only,24611,0,ruby,system,success,runs/run06_20_46_15_04_26/raw/ruby_sloppy__quick_single__warmup_1.log,runs/run06_20_46_15_04_26/raw/ruby_sloppy__quick_single__warmup_1.log,,{}
run06_20_46_15_04_26,6,2026-04-15T20:46:43,ruby_perl_smoke,Ruby Perl Smoke,macos,arm64,ruby_sloppy,ruby,sloppy,quick_single,false,1,4000,1,4000,0,clock_gettime_ns,2144000,536.0,268.0,,,,16127785005222626245,high,single_core,unsupported,unsupported,Ruby runtime uses controller-side best effort scheduling only,24616,0,ruby,system,success,runs/run06_20_46_15_04_26/raw/ruby_sloppy__quick_single__repeat_1.log,runs/run06_20_46_15_04_26/raw/ruby_sloppy__quick_single__repeat_1.log,,{}
run06_20_46_15_04_26,6,2026-04-15T20:46:43,ruby_perl_smoke,Ruby Perl Smoke,macos,arm64,ruby_optimized,ruby,optimized,quick_single,true,1,4000,1,4000,0,clock_gettime_ns,2243000,560.75,280.375,,,,16127785005222626245,high,single_core,unsupported,unsupported,Ruby runtime uses controller-side best effort scheduling only,24621,0,ruby,system,success,runs/run06_20_46_15_04_26/raw/ruby_optimized__quick_single__warmup_1.log,runs/run06_20_46_15_04_26/raw/ruby_optimized__quick_single__warmup_1.log,,{}
run06_20_46_15_04_26,6,2026-04-15T20:46:43,ruby_perl_smoke,Ruby Perl Smoke,macos,arm64,ruby_optimized,ruby,optimized,quick_single,false,1,4000,1,4000,0,clock_gettime_ns,2221000,555.25,277.625,,,,16127785005222626245,high,single_core,unsupported,unsupported,Ruby runtime uses controller-side best effort scheduling only,24627,0,ruby,system,success,runs/run06_20_46_15_04_26/raw/ruby_optimized__quick_single__repeat_1.log,runs/run06_20_46_15_04_26/raw/ruby_optimized__quick_single__repeat_1.log,,{}
run06_20_46_15_04_26,6,2026-04-15T20:46:43,ruby_perl_smoke,Ruby Perl Smoke,macos,arm64,perl_sloppy,perl,sloppy,quick_single,true,1,4000,1,4000,0,clock_gettime_ns,2977999,744.49975,372.249875,,,,0,high,single_core,unsupported,unsupported,Perl runtime uses controller-side best effort scheduling only,24632,0,perl,system,success,runs/run06_20_46_15_04_26/raw/perl_sloppy__quick_single__warmup_1.log,runs/run06_20_46_15_04_26/raw/perl_sloppy__quick_single__warmup_1.log,,{}
run06_20_46_15_04_26,6,2026-04-15T20:46:43,ruby_perl_smoke,Ruby Perl Smoke,macos,arm64,perl_sloppy,perl,sloppy,quick_single,false,1,4000,1,4000,0,clock_gettime_ns,3456001,864.00025,432.000125,,,,0,high,single_core,unsupported,unsupported,Perl runtime uses controller-side best effort scheduling only,24633,0,perl,system,success,runs/run06_20_46_15_04_26/raw/perl_sloppy__quick_single__repeat_1.log,runs/run06_20_46_15_04_26/raw/perl_sloppy__quick_single__repeat_1.log,,{}
run06_20_46_15_04_26,6,2026-04-15T20:46:43,ruby_perl_smoke,Ruby Perl Smoke,macos,arm64,perl_optimized,perl,optimized,quick_single,true,1,4000,1,4000,0,clock_gettime_ns,4216999,1054.24975,527.124875,,,,0,high,single_core,unsupported,unsupported,Perl runtime uses controller-side best effort scheduling only,24634,0,perl,system,success,runs/run06_20_46_15_04_26/raw/perl_optimized__quick_single__warmup_1.log,runs/run06_20_46_15_04_26/raw/perl_optimized__quick_single__warmup_1.log,,{}
run06_20_46_15_04_26,6,2026-04-15T20:46:43,ruby_perl_smoke,Ruby Perl Smoke,macos,arm64,perl_optimized,perl,optimized,quick_single,false,1,4000,1,4000,0,clock_gettime_ns,5312002,1328.0005,664.00025,,,,0,high,single_core,unsupported,unsupported,Perl runtime uses controller-side best effort scheduling only,24635,0,perl,system,success,runs/run06_20_46_15_04_26/raw/perl_optimized__quick_single__repeat_1.log,runs/run06_20_46_15_04_26/raw/perl_optimized__quick_single__repeat_1.log,,{}
