batch_name,run_number,timestamp,log_file,exit_code,implementation,pid,tid,iterations,parallel_chains,loop_trip_count,remainder,requested_affinity_mask,previous_affinity_mask,priority_set,thread_priority,cpu_before,cpu_after,timer_kind,counter_start,counter_end,result,cycles,cycles/iteration,cycles/add
run01_19_56_14_04_26,1,2026-04-14T19:56:47,runs/run01_19_56_14_04_26/c_native.txt,0,c_native,24544,21744,1000000,4,250000,0,0x1,0xffff,1,2,0,0,rdtsc,464523777995540,464523778467994,7970363285000074209,472454,0.472454,0.236227
run01_19_56_14_04_26,1,2026-04-14T19:56:47,runs/run01_19_56_14_04_26/python_sloppy.txt,0,python_sloppy,20956,7128,10000,1,10000,0,0x1,0xffff,1,2,0,0,query_thread_cycle_time,167487876,173580192,14072392958797158149,6092316,609.231600,304.615800
run01_19_56_14_04_26,1,2026-04-14T19:56:47,runs/run01_19_56_14_04_26/python_optimized.txt,0,python_optimized,13908,9044,100000,4,25000,0,0x1,0xffff,1,2,0,0,query_thread_cycle_time,182652664,234139984,17729413507272262017,51487320,514.873200,257.436600
