batch_name,run_number,timestamp,log_file,exit_code,implementation,pid,tid,iterations,parallel_chains,loop_trip_count,remainder,requested_affinity_mask,previous_affinity_mask,priority_set,thread_priority,cpu_before,cpu_after,timer_kind,counter_start,counter_end,result,cycles,cycles/iteration,cycles/add
run02_19_56_14_04_26,2,2026-04-14T19:56:57,runs/run02_19_56_14_04_26/c_native.txt,0,c_native,26308,11784,500000,4,125000,0,0x1,0xffff,1,2,0,0,rdtsc,464559093582212,464559093896358,16920098497481858917,314146,0.628292,0.314146
run02_19_56_14_04_26,2,2026-04-14T19:56:57,runs/run02_19_56_14_04_26/python_sloppy.txt,0,python_sloppy,23004,25744,5000,1,5000,0,0x1,0xffff,1,2,0,0,query_thread_cycle_time,161799896,167083546,2894627868287441445,5283650,1056.730000,528.365000
run02_19_56_14_04_26,2,2026-04-14T19:56:57,runs/run02_19_56_14_04_26/python_optimized.txt,0,python_optimized,12100,14948,50000,4,12500,0,0x1,0xffff,1,2,0,0,query_thread_cycle_time,171267979,200427429,5529537569350837973,29159450,583.189000,291.594500
