run_id,run_number,started_at,profile_id,profile_name,host_os,host_arch,implementation,language,variant,case_id,warmup,repeat_index,iterations,parallel_chains,loop_trip_count,remainder,timer_kind,elapsed_ns,ns_per_iteration,ns_per_add,legacy_cycles,legacy_cycles_per_iteration,legacy_cycles_per_add,result_checksum,requested_priority_mode,requested_affinity_mode,applied_priority_mode,applied_affinity_mode,scheduler_notes,pid,tid,runtime_name,runtime_source,status,log_file,raw_file,error_message,platform_extras_json
run02_20_07_15_04_26,2,2026-04-15T20:07:27,smoke,Smoke,macos,arm64,c_native,c,native,quick_single,true,1,20000,1,20000,0,clock_gettime_ns,78000,3.9,1.95,,,,8111950104458595269,high,single_core,unsupported,unsupported,best-effort scheduler controls unavailable on this host,335,8235830272,native,bundled,success,runs/run02_20_07_15_04_26/raw/c_native__quick_single__warmup_1.log,runs/run02_20_07_15_04_26/raw/c_native__quick_single__warmup_1.log,,"{""counter_frequency"": 0}"
run02_20_07_15_04_26,2,2026-04-15T20:07:27,smoke,Smoke,macos,arm64,c_native,c,native,quick_single,false,1,20000,1,20000,0,clock_gettime_ns,78000,3.9,1.95,,,,8111950104458595269,high,single_core,unsupported,unsupported,best-effort scheduler controls unavailable on this host,337,8235830272,native,bundled,success,runs/run02_20_07_15_04_26/raw/c_native__quick_single__repeat_1.log,runs/run02_20_07_15_04_26/raw/c_native__quick_single__repeat_1.log,,"{""counter_frequency"": 0}"
run02_20_07_15_04_26,2,2026-04-15T20:07:27,smoke,Smoke,macos,arm64,c_native,c,native,quick_parallel,true,1,40000,4,10000,0,clock_gettime_ns,13000,0.325,0.1625,,,,9095820053878083041,high,single_core,unsupported,unsupported,best-effort scheduler controls unavailable on this host,338,8235830272,native,bundled,success,runs/run02_20_07_15_04_26/raw/c_native__quick_parallel__warmup_1.log,runs/run02_20_07_15_04_26/raw/c_native__quick_parallel__warmup_1.log,,"{""counter_frequency"": 0}"
run02_20_07_15_04_26,2,2026-04-15T20:07:27,smoke,Smoke,macos,arm64,c_native,c,native,quick_parallel,false,1,40000,4,10000,0,clock_gettime_ns,13000,0.325,0.1625,,,,9095820053878083041,high,single_core,unsupported,unsupported,best-effort scheduler controls unavailable on this host,339,8235830272,native,bundled,success,runs/run02_20_07_15_04_26/raw/c_native__quick_parallel__repeat_1.log,runs/run02_20_07_15_04_26/raw/c_native__quick_parallel__repeat_1.log,,"{""counter_frequency"": 0}"
run02_20_07_15_04_26,2,2026-04-15T20:07:27,smoke,Smoke,macos,arm64,python_sloppy,python,sloppy,quick_single,true,1,20000,1,20000,0,perf_counter_ns,5725667,286.28335,143.141675,,,,8111950104458595269,high,single_core,unsupported,unsupported,priority elevation unavailable; affinity control unavailable,341,20684575,python,system,success,runs/run02_20_07_15_04_26/raw/python_sloppy__quick_single__warmup_1.log,runs/run02_20_07_15_04_26/raw/python_sloppy__quick_single__warmup_1.log,,{}
run02_20_07_15_04_26,2,2026-04-15T20:07:27,smoke,Smoke,macos,arm64,python_sloppy,python,sloppy,quick_single,false,1,20000,1,20000,0,perf_counter_ns,5961000,298.05,149.025,,,,8111950104458595269,high,single_core,unsupported,unsupported,priority elevation unavailable; affinity control unavailable,344,20684580,python,system,success,runs/run02_20_07_15_04_26/raw/python_sloppy__quick_single__repeat_1.log,runs/run02_20_07_15_04_26/raw/python_sloppy__quick_single__repeat_1.log,,{}
run02_20_07_15_04_26,2,2026-04-15T20:07:27,smoke,Smoke,macos,arm64,python_sloppy,python,sloppy,quick_parallel,true,1,40000,4,10000,0,perf_counter_ns,10114000,252.85,126.425,,,,9095820053878083041,high,single_core,unsupported,unsupported,priority elevation unavailable; affinity control unavailable,345,20684583,python,system,success,runs/run02_20_07_15_04_26/raw/python_sloppy__quick_parallel__warmup_1.log,runs/run02_20_07_15_04_26/raw/python_sloppy__quick_parallel__warmup_1.log,,{}
run02_20_07_15_04_26,2,2026-04-15T20:07:27,smoke,Smoke,macos,arm64,python_sloppy,python,sloppy,quick_parallel,false,1,40000,4,10000,0,perf_counter_ns,10251625,256.290625,128.1453125,,,,9095820053878083041,high,single_core,unsupported,unsupported,priority elevation unavailable; affinity control unavailable,346,20684589,python,system,success,runs/run02_20_07_15_04_26/raw/python_sloppy__quick_parallel__repeat_1.log,runs/run02_20_07_15_04_26/raw/python_sloppy__quick_parallel__repeat_1.log,,{}
run02_20_07_15_04_26,2,2026-04-15T20:07:27,smoke,Smoke,macos,arm64,python_optimized,python,optimized,quick_single,true,1,20000,1,20000,0,perf_counter_ns,5819625,290.98125,145.490625,,,,8111950104458595269,high,single_core,unsupported,unsupported,priority elevation unavailable; affinity control unavailable,348,20684592,python,system,success,runs/run02_20_07_15_04_26/raw/python_optimized__quick_single__warmup_1.log,runs/run02_20_07_15_04_26/raw/python_optimized__quick_single__warmup_1.log,,{}
run02_20_07_15_04_26,2,2026-04-15T20:07:27,smoke,Smoke,macos,arm64,python_optimized,python,optimized,quick_single,false,1,20000,1,20000,0,perf_counter_ns,6378625,318.93125,159.465625,,,,8111950104458595269,high,single_core,unsupported,unsupported,priority elevation unavailable; affinity control unavailable,359,20684605,python,system,success,runs/run02_20_07_15_04_26/raw/python_optimized__quick_single__repeat_1.log,runs/run02_20_07_15_04_26/raw/python_optimized__quick_single__repeat_1.log,,{}
