run_id,run_number,started_at,profile_id,profile_name,host_os,host_arch,implementation,language,variant,case_id,warmup,repeat_index,iterations,parallel_chains,loop_trip_count,remainder,timer_kind,elapsed_ns,ns_per_iteration,ns_per_add,legacy_cycles,legacy_cycles_per_iteration,legacy_cycles_per_add,result_checksum,requested_priority_mode,requested_affinity_mode,applied_priority_mode,applied_affinity_mode,scheduler_notes,pid,tid,runtime_name,runtime_source,status,log_file,raw_file,error_message,platform_extras_json
run02_19_33_15_04_26,2,2026-04-15T19:33:06,smoke,Smoke,macos,arm64,c_native,c,native,quick_single,true,1,20000,1,20000,0,clock_gettime_ns,79000,3.95,1.975,,,,8111950104458595269,high,single_core,unsupported,unsupported,best-effort scheduler controls unavailable on this host,93802,8235830272,native,bundled,success,runs/run02_19_33_15_04_26/raw/c_native__quick_single__warmup_1.log,runs/run02_19_33_15_04_26/raw/c_native__quick_single__warmup_1.log,,"{""counter_frequency"": 0}"
run02_19_33_15_04_26,2,2026-04-15T19:33:06,smoke,Smoke,macos,arm64,c_native,c,native,quick_single,false,1,20000,1,20000,0,clock_gettime_ns,81000,4.05,2.025,,,,8111950104458595269,high,single_core,unsupported,unsupported,best-effort scheduler controls unavailable on this host,93803,8235830272,native,bundled,success,runs/run02_19_33_15_04_26/raw/c_native__quick_single__repeat_1.log,runs/run02_19_33_15_04_26/raw/c_native__quick_single__repeat_1.log,,"{""counter_frequency"": 0}"
run02_19_33_15_04_26,2,2026-04-15T19:33:06,smoke,Smoke,macos,arm64,c_native,c,native,quick_parallel,true,1,40000,4,10000,0,clock_gettime_ns,13000,0.325,0.1625,,,,9095820053878083041,high,single_core,unsupported,unsupported,best-effort scheduler controls unavailable on this host,93804,8235830272,native,bundled,success,runs/run02_19_33_15_04_26/raw/c_native__quick_parallel__warmup_1.log,runs/run02_19_33_15_04_26/raw/c_native__quick_parallel__warmup_1.log,,"{""counter_frequency"": 0}"
run02_19_33_15_04_26,2,2026-04-15T19:33:06,smoke,Smoke,macos,arm64,c_native,c,native,quick_parallel,false,1,40000,4,10000,0,clock_gettime_ns,13000,0.325,0.1625,,,,9095820053878083041,high,single_core,unsupported,unsupported,best-effort scheduler controls unavailable on this host,93805,8235830272,native,bundled,success,runs/run02_19_33_15_04_26/raw/c_native__quick_parallel__repeat_1.log,runs/run02_19_33_15_04_26/raw/c_native__quick_parallel__repeat_1.log,,"{""counter_frequency"": 0}"
run02_19_33_15_04_26,2,2026-04-15T19:33:06,smoke,Smoke,macos,arm64,python_sloppy,python,sloppy,quick_single,true,1,20000,1,20000,0,perf_counter_ns,5163167,258.15835,129.079175,,,,8111950104458595269,high,single_core,unsupported,unsupported,priority elevation unavailable; affinity control unavailable,93806,20649230,python,system,success,runs/run02_19_33_15_04_26/raw/python_sloppy__quick_single__warmup_1.log,runs/run02_19_33_15_04_26/raw/python_sloppy__quick_single__warmup_1.log,,{}
run02_19_33_15_04_26,2,2026-04-15T19:33:06,smoke,Smoke,macos,arm64,python_sloppy,python,sloppy,quick_single,false,1,20000,1,20000,0,perf_counter_ns,5288417,264.42085,132.210425,,,,8111950104458595269,high,single_core,unsupported,unsupported,priority elevation unavailable; affinity control unavailable,93808,20649236,python,system,success,runs/run02_19_33_15_04_26/raw/python_sloppy__quick_single__repeat_1.log,runs/run02_19_33_15_04_26/raw/python_sloppy__quick_single__repeat_1.log,,{}
run02_19_33_15_04_26,2,2026-04-15T19:33:06,smoke,Smoke,macos,arm64,python_sloppy,python,sloppy,quick_parallel,true,1,40000,4,10000,0,perf_counter_ns,9283458,232.08645,116.043225,,,,9095820053878083041,high,single_core,unsupported,unsupported,priority elevation unavailable; affinity control unavailable,93809,20649241,python,system,success,runs/run02_19_33_15_04_26/raw/python_sloppy__quick_parallel__warmup_1.log,runs/run02_19_33_15_04_26/raw/python_sloppy__quick_parallel__warmup_1.log,,{}
run02_19_33_15_04_26,2,2026-04-15T19:33:06,smoke,Smoke,macos,arm64,python_sloppy,python,sloppy,quick_parallel,false,1,40000,4,10000,0,perf_counter_ns,8961625,224.040625,112.0203125,,,,9095820053878083041,high,single_core,unsupported,unsupported,priority elevation unavailable; affinity control unavailable,93810,20649244,python,system,success,runs/run02_19_33_15_04_26/raw/python_sloppy__quick_parallel__repeat_1.log,runs/run02_19_33_15_04_26/raw/python_sloppy__quick_parallel__repeat_1.log,,{}
run02_19_33_15_04_26,2,2026-04-15T19:33:06,smoke,Smoke,macos,arm64,python_optimized,python,optimized,quick_single,true,1,20000,1,20000,0,perf_counter_ns,5032583,251.62915,125.814575,,,,8111950104458595269,high,single_core,unsupported,unsupported,priority elevation unavailable; affinity control unavailable,93811,20649248,python,system,success,runs/run02_19_33_15_04_26/raw/python_optimized__quick_single__warmup_1.log,runs/run02_19_33_15_04_26/raw/python_optimized__quick_single__warmup_1.log,,{}
run02_19_33_15_04_26,2,2026-04-15T19:33:06,smoke,Smoke,macos,arm64,python_optimized,python,optimized,quick_single,false,1,20000,1,20000,0,perf_counter_ns,7987875,399.39375,199.696875,,,,8111950104458595269,high,single_core,unsupported,unsupported,priority elevation unavailable; affinity control unavailable,93814,20649261,python,system,success,runs/run02_19_33_15_04_26/raw/python_optimized__quick_single__repeat_1.log,runs/run02_19_33_15_04_26/raw/python_optimized__quick_single__repeat_1.log,,{}
